task_id	priority	site_id	primary_name	municipality	parish	dataset_use	split	has_coordinates	qgis_action	suggested_decision	notes
task-0001	P1	tra-fene-almieiras	Castro de Almieiras	Fene	Santa Eulalia de Limodre	positive_damaged_review	review_only	no	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0002	P1	tra-fene-as-pias	Castro de As Pías	Fene	San Esteban de Perlío	positive_damaged_review	review_only	yes	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial. | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0003	P2	tra-fene-castro-das-escadas	Castro das Escadas	Fene		review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0004	P2	tra-fene-castro-de-belelle	Castro de Belelle	Fene	Sillobre (Santa Mariña)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0005	P0	tra-fene-fontenova	Castro de Fontenova	Fene	San Xurxo de Magalofes	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0006	P2	tra-fene-ga15035007	Castro de Magalofes	Fene	Magalofes (San Xurxo)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0007	P2	tra-fene-ga15035008	Castro de Prismos	Fene	Limodre	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Plan Sectorial 2014 | Presente en lista clásica Pena/Calaméo nº 26. | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0008	P2	tra-fene-ga15035009	Castro de Orra	Fene	Sillobre	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Plan Sectorial 2014 | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0009	P2	tra-fene-ga15035010	Castro de Barallobre	Fene	Barallobre	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Plan Sectorial 2014 | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0010	P0	tra-fene-ga15035011	Castro de Cordoeiro	Fene	Perlío	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Plan Sectorial 2014; posible relación con As Pías/Río Castro a revisar
task-0011	P2	tra-fene-ga15035012	Castro de Río Castro	Fene	Limodre (Santa Eulalia)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0012	P1	tra-fene-loureiros	Castro de Loureiros	Fene	Santiago de Barallobre	positive_damaged_review	review_only	no	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0013	P0	tra-fene-ovra	Castro de Ovra	Fene	Santa María de Sillobre	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0014	P1	tra-fene-re15035002	Castro do Sartego	Fene	Fene	positive_damaged_review	review_only	no	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	Plan Sectorial 2014; registro RE | Presente en lista clásica Pena/Calaméo nº 33.
task-0015	P1	tra-fene-san-esteban-de-perlio	Castro de San Esteban de Perlío	Fene		positive_damaged_review	review_only	no	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0016	P1	tra-ferrol-canido	Castro de Canido	Ferrol		positive_damaged_review	review_only	no	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0017	P2	tra-ferrol-castro-da-pereiruga	Castro da Pereiruga	Ferrol	Pedroso (San Salvador)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0018	P2	tra-ferrol-castro-de-ancos	Castro de Ancos	Ferrol	Neda, Santa María	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0019	P2	tra-ferrol-castro-de-lago	Castro de Lago	Ferrol	Lago (Santiago)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0020	P2	tra-ferrol-castro-de-lavacerido	Castro de Lavacerido	Ferrol	Meirás ( San Vicente)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0021	P2	tra-ferrol-castro-de-loiravella	Castro de Loiravella	Ferrol	Loira (Santiago)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0022	P2	tra-ferrol-castro-de-santo-tomas	Castro de Santo Tomás	Ferrol	Meirás	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0023	P2	tra-ferrol-castro-de-sta-cecilia	Castro de Sta. Cecilia	Ferrol	Sta. Cecilia de Trasancos	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0024	P2	tra-ferrol-castro-de-sta-comba	Castro de Sta. Comba	Ferrol	S. Martín de Cobas	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0025	P2	tra-ferrol-castro-de-sta-marina	Castro de Sta. Marina	Ferrol	Sta. Marina del Vilar	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0026	P2	tra-ferrol-castro-de-viladonelle	Castro de Viladonelle	Ferrol	Viladonelle (Santo André)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0027	P2	tra-ferrol-castro-do-vilar	Castro do Vilar	Ferrol	Trasancos (San Mateo)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0028	P0	tra-ferrol-ferreiros	Castro de Ferreiros	Ferrol	Santa Uxía de Mandiá	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0029	P2	tra-ferrol-ga-15054008	Castro da Revolta	Ferrol	Sedes (San Estevo)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0030	P1	tra-ferrol-ga15036001	Castro de Lobariz / Lobadiz	Ferrol	San Xurxo da Mariña	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo Ferrol; otros nombres Punta do Castro | Presente en lista clásica Pena/Calaméo nº 1. | 3 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0031	P1	tra-ferrol-ga15036002	Castro de Tralocastro / Esmelle	Ferrol	Esmelle	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo Ferrol | Presente en lista clásica Pena/Calaméo nº 5. | 3 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0032	P1	tra-ferrol-ga15036003	Castro de Marmancón / Papoi	Ferrol	Marmancón	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo Ferrol; otros nombres Castro de Papoi | 3 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0033	P1	tra-ferrol-ga15036004	Monte do Castro / Castro de Vilela	Ferrol	Mandiá	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo Ferrol; OCR lee Vuela/Vilela | Presente en lista clásica Pena/Calaméo nº 7. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
task-0034	P1	tra-ferrol-ga15036005	Os Castros de Mandiá	Ferrol	Mandiá	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo Ferrol
task-0035	P1	tra-ferrol-ga15036007	Castro de Santa Cecilia	Ferrol	Santa Icía de Trasancos	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo Ferrol
task-0036	P1	tra-ferrol-ga15036008	Castro de Vilasanche	Ferrol	Serantes	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo Ferrol | Presente en lista clásica Pena/Calaméo nº 8. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
task-0037	P1	tra-ferrol-ga15036009	A Croa / Castro da Croa de Fontá	Ferrol	Doniños	positive_damaged_review	review_only	yes	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	catálogo Ferrol; Artabro/PG lo nombran como Croa de Fontá | Presente en lista clásica Pena/Calaméo nº 2. | Presente en lista clásica Pena/Calaméo nº 10. | 3 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0038	P1	tra-ferrol-ga15036010	Coto dos Mouros / Castro de Vilabuíde	Ferrol	Doniños	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo Ferrol; otros nombres Castelo dos Mouros/Castro de Vilabuíde | Presente en lista clásica Pena/Calaméo nº 3. | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0039	P1	tra-ferrol-ga15036011	Castro de Santa Mariña / Casal dos Ovos	Ferrol	Santa Mariña do Vilar | Serantes	positive_damaged_review	review_only	yes	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	catálogo Ferrol | otros yacimientos documentados; posible equivalencia con Santa Mariña/Casal dos Ovos, revisar | Presente en lista clásica Pena/Calaméo nº 12. | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0040	P1	tra-ferrol-ga15036012	Castro de Ferrol Vello	Ferrol	Ferrol	positive_damaged_review	review_only	yes	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	otros yacimientos documentados | Presente en lista clásica Pena/Calaméo nº 11. | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0041	P1	tra-ferrol-ga15036014	Necrópolis de Santa Comba	Ferrol	Covas	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	el catálogo la tipa como castro/asentamiento fortificado y necrópolis | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0042	P0	tra-ferrol-o-xeixo	Castro de O Xeixo	Ferrol	San Pedro de Leixa	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0043	P0	tra-ferrol-papoy	Castro de Papoy	Ferrol	San Pedro de Marmancón	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0044	P2	tra-ferrol-ref15036002	Pico de Ouro	Ferrol	Mandiá	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	referencia del catálogo, no código GA
task-0045	P2	tra-ferrol-ref15036004	Castro de Arbosa	Ferrol	Brión	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	referencia del catálogo, no código GA
task-0046	P2	tra-ferrol-ri-000007172	Castro da Croa de Leixa	Ferrol	Leixa	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0047	P2	tra-ferrol-ri-000009062	Castro da Ermida	Ferrol	Pedroso (San Salvador)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0048	P2	tra-ferrol-ri-000015019	Castro de Crecente	Ferrol	Loira (San Pedro)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0049	P2	tra-ferrol-ri-000015021	Castro de Lodeiro	Ferrol	O Sequeiro (Santa María)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0050	P2	tra-ferrol-ri-000015057	Castro do Rodo	Ferrol	Pantín	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0051	P2	tra-naron-castro-de-bicas	Castro de Bicás	Narón	S. Julián de Narón	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0052	P2	tra-naron-castro-de-s-mateo	Castro de S. Mateo	Narón	S. Mateo de Trasancos	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0053	P2	tra-naron-castro-de-san-estevo	Castro de San Estevo	Narón		review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0054	P2	tra-naron-castro-de-sedes	Castro de Sedes	Narón	S. Esteban de Sedes	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0055	P2	tra-naron-castro-de-sta-maria	Castro de Sta. María	Narón	Sta. María de Castro	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0056	P0	tra-naron-ga15054001	X-39 Monte do Castro	Narón	O Val	positive_o_val_holdout	test_o_val	yes	Verificar coordenada y dibujar polígono/buffer; mantener fuera de entrenamiento.	verify_holdout_polygon	
task-0057	P0	tra-naron-ga15054002	X-41 Castro de Quintá	Narón	O Val	positive_o_val_holdout	test_o_val	yes	Verificar coordenada y dibujar polígono/buffer; mantener fuera de entrenamiento.	verify_holdout_polygon	Presente en lista clásica Pena/Calaméo nº 14. | 4 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0058	P1	tra-naron-ga15054003	X-14 Castro de San Mateo	Narón	Trasancos / San Mateo	test_positive_candidate	test	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	Presente en lista clásica Pena/Calaméo nº 15. | 2 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0059	P1	tra-naron-ga15054004	X-40 Castro de Santa María	Narón	Castro (Santa María)	test_positive_candidate	test	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	
task-0060	P1	tra-naron-ga15054005	X-10 Castro de Eiravedra	Narón	Sedes	test_positive_candidate	test	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	Presente en lista clásica Pena/Calaméo nº 18. | 3 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0061	P1	tra-naron-ga15054006	X-09 Castro de Couto / O Petouzal	Narón	O Couto	test_positive_candidate	test	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	3 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0062	P1	tra-naron-ga15054007	X-11 Castro de Sequeiro	Narón	San Xiao de Narón	test_positive_candidate	test	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	Presente en lista clásica Pena/Calaméo nº 16. | 4 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0063	P1	tra-naron-ga15054009	X-15 Castro de Vicás	Narón	San Xiao de Narón	test_positive_candidate	test	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	Presente en lista clásica Pena/Calaméo nº 19. | 2 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0064	P1	tra-naron-ga15054010	X-04 Castro da Ermida	Narón	Pedroso	test_positive_candidate	test	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	Presente en lista clásica Pena/Calaméo nº 20. | 3 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0065	P1	tra-naron-ga15054015	X-12 Castro de Pena Lopesa	Narón	O Val	positive_damaged_review	review_only	yes	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	Presente en lista clásica Pena/Calaméo nº 25. | 4 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0066	P0	tra-naron-ga15054037	X-07 Castro de A Pedreira	Narón	O Val	positive_o_val_holdout	test_o_val	yes	Verificar coordenada y dibujar polígono/buffer; mantener fuera de entrenamiento.	verify_holdout_polygon	4 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0067	P1	tra-naron-o-castro	O Castro	Narón	San Martiño do Couto	positive_damaged_review	review_only	no	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial. | Presente en lista clásica Pena/Calaméo nº 22.
task-0068	P2	tra-naron-to15054003	X-08 Castro de Abaixo	Narón		review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	en PXOM como toponímico/castro; revisar código
task-0069	P0	tra-naron-vilasuso	Castro de Vilasuso	Narón	Santa María Maior do Val	positive_o_val_holdout	test_o_val	yes	Verificar coordenada y dibujar polígono/buffer; mantener fuera de entrenamiento.	verify_holdout_polygon	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial. | 3 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0070	P1	tra-naron-x-05-castro-da-pereiruga	X-05 Castro da Pereiruga	Narón	Pedroso	test_positive_candidate	test	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	Presente en lista clásica Pena/Calaméo nº 24. | 3 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0071	P1	tra-naron-x-06-castro-da-revolta	X-06 Castro da Revolta	Narón	Sedes	test_positive_candidate	test	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	Presente en lista clásica Pena/Calaméo nº 17. | 3 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0072	P1	tra-naron-x-48-castro-do-ramo	X-48 Castro do Ramo	Narón		test_positive_candidate	test	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	en trámite según índice PXOM
task-0073	P0	tra-naron-x-50-cercado-neolitico-da-lagoa-pena-grande	X-50 Cercado neolítico da Lagoa / Pena Grande	Narón	O Val	review_only	review_only	yes	Resolver tipología castro/cercado neolítico; no usar como positivo.	resolve_typology	Pena Grande/Lagoa: no usar como positivo hasta resolver castro vs cercado neolítico. | no tratar automáticamente como castro; caso conflictivo | 2 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0074	P1	tra-neda-castro-de-ancos	Castro de Ancos	Neda	Santa María de Neda	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo NNSS Neda, ficha 42 | Presente en lista clásica Pena/Calaméo nº 46.
task-0075	P1	tra-neda-castro-de-viladonelle	Castro de Viladonelle	Neda	Viladonelle	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo NNSS Neda, ficha 43 | Presente en lista clásica Pena/Calaméo nº 47.
task-0076	P0	tra-neda-castros	Castros	Neda	San Martiño de Neda	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Plan Sectorial 2014, TOP15055002; topónimo/yacimiento a comprobar
task-0077	P2	tra-neda-ga150554006	Castro do Petouzal	Neda	O Couto	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0078	P0	tra-neda-monte-de-rabadena	Monte de Rabadeña	Neda	Santa María de Neda	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Plan Sectorial 2014, clave GA15055005; no sustituye al catálogo completo
task-0079	P1	tra-neda-santa-maria-de-neda	Castro de Santa María de Neda	Neda	Santa María de Neda	positive_damaged_review	review_only	no	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0080	P2	tra-san-sadurnino-a-croa-naraio	A Croa / Naraío	San Sadurniño	Naraío	review_only	review_only	no	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	posible castro/topónimo bajo lectura muy débil; confirmar
task-0081	P1	tra-san-sadurnino-castro-da-croa-do-redo	Castro da Croa do Redo	San Sadurniño	Lamas	val_positive_candidate	val	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	OCR lee Retío; Fálame/Galipedia leen Redo | Presente en lista clásica Pena/Calaméo nº 73. | parte del sistema de cinco castros del Val do Xuvia
task-0082	P1	tra-san-sadurnino-castro-da-croa-ou-castro-de-rupiallo	Castro da Croa ou Castro de Rupiallo	San Sadurniño	San Sadurniño	val_positive_candidate	val	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo NNSS San Sadurniño | flanco suroeste del sistema; junto a A Portela | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0083	P0	tra-san-sadurnino-castro-das-croas	Castro das Croas	San Sadurniño	San Sadurniño	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	equivalente probable al Castro de San Sadurniño | Presente en lista clásica Pena/Calaméo nº 68.
task-0084	P1	tra-san-sadurnino-castro-de-castrelo	Castro de Castrelo	San Sadurniño	Monte	val_positive_candidate	val	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo NNSS San Sadurniño | Presente en lista clásica Pena/Calaméo nº 69. | Presente en lista clásica Pena/Calaméo nº 70. | apoyo norte; deteriorado; fuente en Fálame y Ateneo 1987 | solo pista nominal Galipedia/O Noso Patrimonio; confirmar
task-0085	P1	tra-san-sadurnino-castro-de-croas-de-ramil	Castro de Croas de Ramil	San Sadurniño	Lamas	val_positive_candidate	val	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo NNSS San Sadurniño | Presente en lista clásica Pena/Calaméo nº 72. | flanco sureste del sistema según Fálame
task-0086	P1	tra-san-sadurnino-castro-de-riboira	Castro de Riboira	San Sadurniño	Lamas	val_positive_candidate	val	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo NNSS San Sadurniño | Presente en lista clásica Pena/Calaméo nº 67. | parte del sistema de cinco castros del Val do Xuvia | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0087	P0	tra-san-sadurnino-coto-da-croa-ou-a-croa-do-castro	Coto da Croa ou A Croa do Castro	San Sadurniño	Bardaos	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	catálogo NNSS San Sadurniño | solo pista nominal O Noso Patrimonio; confirmar
